recovery_id,category,title,year,publisher,url,status,relevance_note
INST-001,commission,"Marikana Commission of Inquiry: Report on matters of public national and international concern arising out of tragic incidents at Lonmin Mine in Marikana",2015,"South African Government",https://www.gov.za/documents/notices/marikana-commission-inquiry-report-matters-public-national-and-international,verified,"Canonical Farlam Commission report; already present in data/raw"
INST-002,ngo,"Policy Gap 6: A Review of Platinum Mining in the Bojanala District of the North West Province",2012,"Bench Marks Foundation",https://www.bench-marks.org.za/wp-content/uploads/2021/02/rustenburg_review_policy_gap_final_aug_2012.pdf,verified,"Directly relevant to Marikana/Bojanala; already present in data/raw"
INST-003,ngo,"Zero Hour: Poor Governance of Mining and the Violation of Environmental Rights in South Africa",2016,"Centre for Environmental Rights",https://cer.org.za/wp-content/uploads/2016/06/Zero-Hour-May-2016.pdf,verified,"Relevant mining governance report; already present in data/raw"
INST-004,ngo,"Policy Gap 10: Floating or Sinking Social Licence to Operate: Kumba Iron Ore Limited",2016,"Bench Marks Foundation",,mischaracterized,"Policy Gap 10 concerns Kumba Iron Ore/Sishen, not Marikana/Bojanala; requires inclusion decision"
EITI-STATUS,eiti,"South Africa EITI country reporting",,"Extractive Industries Transparency Initiative",https://eiti.org/countries,invalid_as_claimed,"South Africa is not an EITI implementing country; claimed 13 South Africa EITI documents cannot be retrieved as described"
MEDIA-001,media,"Lonmin killings hurt SA as mining destination",2012,"Mining Weekly",https://www.miningweekly.com/article/lonmin-killings-hurt-sa-as-mining-destination-2012-09-10,verified_candidate,"Direct Marikana/Lonmin coverage"
MEDIA-002,media,"Lonmin's killing fields: the inevitable tragic next move",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-08-17-lonmins-killing-fields-the-inevitable-tragic-next-move/,verified_candidate,"Direct Marikana strike and massacre coverage"
MEDIA-003,media,"Lonmin: Malema fans the flames but the victims are still out in the cold",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-08-18-lonmin-malema-fans-the-flames-but-the-victims-are-still-out-in-the-cold/,verified_candidate,"Community and worker perspective at Marikana"
MEDIA-004,media,"Marikana: Police torture takes centre stage",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-08-28-marikana-police-torture-takes-central-stage/,verified_candidate,"Post-massacre governance and police conduct"
MEDIA-005,media,"Marikana eyewitness: He raised his hands they shoot him in the head",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head/,verified_candidate,"First-person worker testimony"
MEDIA-006,media,"Marikana: Mourning families and their forgotten legal rights",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-08-28-marikana-mourning-families-and-their-forgotten-legal-rights/,verified_candidate,"Family and legal-rights stakeholder perspective"
MEDIA-007,media,"FIVE MINUTES: SOUTH AFRICA 16 August 2012",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-08-16-five-minutes-south-africa-16-august-2012/,verified_candidate,"Contemporaneous Lonmin strike reporting"
MEDIA-008,media,"Lonmin commemorates deceased mineworkers describes massacre as catalyst for change",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,verified_candidate,"Corporate response and community engagement"
MEDIA-009,media,"Economy failed miners says AMCUs Mathunjwa",2013,"Mining Weekly",https://www.miningweekly.com/article/economy-failed-miners-says-amcus-mathunjwa-2013-08-16,verified_candidate,"Labour stakeholder perspective"
MEDIA-010,media,"Slain Marikana workers to be remembered",2013,"Mining Weekly",https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,verified_candidate,"Labour and remembrance context"
MEDIA-011,media,"Marikana one year later: the hell above and below ground",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-08-16-marikana-one-year-later-the-hell-above-and-below-ground/,verified_candidate,"One-year retrospective with mining/community context"
MEDIA-012,media,"Ramaphosa says negotiation was Marikana panacea",2014,"Mining Weekly",https://www.miningweekly.com/article/negotiation-was-marikana-panacea-ramaphosa-2014-08-11,verified_candidate,"Commission testimony and negotiation/governance perspective"
MEDIA-013,media,"Ramaphosa questioned about Marikana inaction",2014,"Mining Weekly",https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,verified_candidate,"Commission testimony and governance perspective"
MEDIA-014,media,"Lonmin affirms Farlam report",2015,"Mining Weekly",https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,verified_candidate,"Corporate response to Farlam findings"
MEDIA-015,media,"NUM welcomes further investigation recommendation defends member actions",2015,"Mining Weekly",https://www.miningweekly.com/article/num-welcomes-further-investigation-recommendation-defends-member-actions-2015-06-26,verified_candidate,"Labour union response to Farlam report"
MEDIA-016,media,"Lonmin unveils design proposal for Marikana memorial park showcases new apartments",2017,"Mining Weekly",https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,verified_candidate,"Corporate/community response and housing context"
MEDIA-017,media,"Six years on there is no accountability for the elite police unit shootings at Marikana Scene 2",2018,"Daily Maverick",https://www.dailymaverick.co.za/article/2018-08-16-six-years-on-there-is-no-accountability-for-the-elite-police-unit-shootings-at-marikana-scene-2/,verified_candidate,"Governance/accountability retrospective"
MEDIA-018,media,"Sibanye hosts Marikana memorial lecture",2020,"Mining Weekly",https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,verified_candidate,"Sibanye post-acquisition Marikana engagement"
MEDIA-019,media,"Marikana: The unfolding of a never-ending tragedy",2021,"Daily Maverick",https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,verified_candidate,"Long-run justice and family stakeholder perspective"
MEDIA-020,media,"Families of slain Marikana mine workers reflect on decade of betrayal",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-15-marikana-families-of-slain-mineworkers-reflect-on-10-years-of-betrayal/,verified_candidate,"Family/community stakeholder perspective"
MEDIA-021,media,"The smell of blood comes back to me as I think of Marikana",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-15-the-smell-of-blood-comes-back-to-me-as-i-remember-sas-dark-day-in-a-north-west-village/,verified_candidate,"Eyewitness retrospective"
