candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id,source_universe
SAT-MEDIA-001,media,"Another year, another Marikana commemoration - but betrayal, neglect and injustice are still there",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-08-16-another-year-another-marikana-commemoration-but-betrayal-neglect-and-injustice-are-still-there/,eligible_pending_acquisition,"Marikana-centred seven-year retrospective with affected-family, worker, justice and post-Lonmin/Sibanye context",SEARCH-DM-005,strict_documented
SAT-MEDIA-002,media,"Sibanye-Stillwater defeats mining communities challenging R5.4bn Lonmin merger",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-09-09-sibanye-stillwater-defeats-mining-communities-challenging-r5-4bn-lonmin-merger/,eligible_pending_acquisition,"Distinct post-judgment follow-up on Marikana-area communities challenging the Lonmin/Sibanye transaction and participation process",SEARCH-DM-005,strict_documented
SAT-MEDIA-003,media,"Eight years later, families of killed Marikana miners still seek justice",2020,"Daily Maverick",https://www.dailymaverick.co.za/article/2020-08-14-eight-years-later-families-of-killed-marikana-miners-still-seek-justice/,eligible_pending_acquisition,"Marikana-centred family/justice retrospective with direct stakeholder testimony",SEARCH-DM-005,strict_documented
SAT-MEDIA-004,media,"Marikana and the many faces of justice",2021,"Daily Maverick",https://www.dailymaverick.co.za/article/2021-08-22-marikana-and-the-many-faces-of-justice/,eligible_pending_acquisition,"Substantive Marikana analysis of retributive, distributive and recognition justice, worker conditions and accountability",SEARCH-DM-005,strict_documented
SAT-MEDIA-005,media,"Sibanye continues to make reparations at Marikana",2022,"Mining Weekly",https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,eligible_pending_acquisition,"Direct Marikana Renewal, reparations, SLP, community engagement and economic-renewal reporting",SEARCH-MW-005,strict_documented
SAT-MEDIA-006,media,"Sibanye concludes five-year wage deal at Rustenburg, Marikana operations",2022,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,eligible_pending_acquisition,"Direct Marikana wage agreement and labour-relations outcome",SEARCH-EN-004,strict_documented
SAT-MEDIA-007,media,"After the Bell: South African miners are by no means earning the ‘slave wages’ asserted by Amcu leader",2023,"Daily Maverick",https://www.dailymaverick.co.za/article/2023-12-10-after-the-bell-sa-miners-are-by-no-means-earning-the-slave-wages-asserted-by-amcus-mathunjwa/,eligible_pending_acquisition,"Although sector-framed, contains substantive Marikana-specific 2013-2021 wage evidence and direct interpretation of post-Marikana labour outcomes",SEARCH-DM-005,strict_documented
EXCLUDE-SAT-MEDIA-008,media,"Sibanye-Stillwater strategising energy solution involvement",2022,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-stillwater-strategising-energy-solution-involvement-2022-09-02,exclude_incidental_scope,"Broad corporate/energy article; Marikana Renewal is only one secondary section rather than the central document subject",SEARCH-EN-004,strict_documented
EXCLUDE-SAT-MEDIA-009,media,"Sibanye concludes five-year wage agreement at Kroondal",2023,"Engineering News",https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-agreement-at-kroondal-2023-11-06,exclude_incidental_scope,"Kroondal is central; Marikana appears only as a comparison to an earlier wage agreement",SEARCH-EN-004,strict_documented
EXCLUDE-SAT-MEDIA-010,media,"Marikana Renewal Programme marks progress, but several matters around massacre still unresolved",2025,"Mining Weekly / Engineering News",https://www.miningweekly.com/article/marikana-renewal-programme-marks-progress-but-several-matters-around-massacre-still-unresolved-2025-08-22,exclude_outside_period,"Directly relevant but published after the primary corpus cutoff of 31 December 2023",SEARCH-MW-005,strict_documented
