cluster_id,normalised_title_year,representative_record_id,representative_date,redundant_republication_record_id,redundant_date,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,final_duplicate_decision,final_duplicate_reason,review_note,decision_provenance
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,SEC-MEDIA-0184,2013-06-25,SEC-MEDIA-0185,2013-07-05,0.988960,0.977901,0.859216,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.988960, token Jaccard=0.977901, five-word shingle Jaccard=0.859216. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,DISC-MEDIA-0412,2013-03-05,DISC-MEDIA-0413,2013-03-15,0.989200,0.977745,0.866310,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.989200, token Jaccard=0.977745, five-word shingle Jaccard=0.866310. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,SEC-MEDIA-0389,2014-01-22,SEC-MEDIA-0390,2014-01-31,0.966456,0.913907,0.781022,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.966456, token Jaccard=0.913907, five-word shingle Jaccard=0.781022. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,DISC-MEDIA-0456,2018-03-23,DISC-MEDIA-0457,2018-04-06,0.968188,0.927869,0.739850,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.968188, token Jaccard=0.927869, five-word shingle Jaccard=0.739850. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,DISC-MEDIA-0459,2014-07-30,DISC-MEDIA-0460,2014-08-08,0.990532,0.968254,0.792275,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.990532, token Jaccard=0.968254, five-word shingle Jaccard=0.792275. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0006,lonmin plans to cut 4 100 workers as it closes platinum mines | 2019,DISC-MEDIA-0476,2019-05-21,DISC-MEDIA-0477,2019-05-31,0.788311,0.515625,0.549133,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_external_original_corroborated,Later Engineering News extraction is a known boilerplate collision. Exact title/publisher/date-pattern review plus the independently recoverable 21 May 2019 Bloomberg version supports treating the 31 May page as a republication. External corroboration: https://www.miningweekly.com/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0007,lonmin share price rises as company reports higher fy production earnings | 2013,DISC-MEDIA-0503,2013-11-11,DISC-MEDIA-0504,2013-11-22,0.952658,0.930295,0.767795,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.952658, token Jaccard=0.930295, five-word shingle Jaccard=0.767795. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0008,lonmin undertakes refinancing delivers on results promise | 2018,DISC-MEDIA-0525,2018-10-22,DISC-MEDIA-0526,2018-11-02,0.933391,0.884030,0.706046,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.933391, token Jaccard=0.884030, five-word shingle Jaccard=0.706046. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0009,lonmin unveils design proposal for marikana memorial park showcases new apartments | 2017,DISC-MEDIA-0527,2017-08-15,DISC-MEDIA-0528,2017-08-25,0.982871,0.959620,0.839030,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.982871, token Jaccard=0.959620, five-word shingle Jaccard=0.839030. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
MEDIA-TITLEYEAR-0010,nothing off table as lonmin pursues value in low platinum price environment | 2017,DISC-MEDIA-0589,2017-04-07,DISC-MEDIA-0590,2017-04-07,0.960983,0.960479,0.906236,collapse_republication_keep_earliest,republication_same_title_publisher_close_date_high_text_similarity,"Same normalized title and publisher; sequence similarity=0.960983, token Jaccard=0.960479, five-word shingle Jaccard=0.906236. Earliest publication retained to avoid overweighting republication in NLP analysis.",same_title_year_republication_review_2026-08-24
