candidate_id,title,year,publisher,url,override_reason
INST-001,"Marikana Commission of Inquiry: Report on matters of public national and international concern arising out of tragic incidents at Lonmin Mine in Marikana",2015,"South African Human Rights Commission mirror of official Farlam report",https://www.sahrc.org.za/home/21/files/marikana-report-1.pdf,"Repository copy is malformed for text extraction; use a verified public mirror of the same official report"
CORP-001,"Lonmin Plc Annual Report and Accounts 2012",2012,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2012.pdf,"Longitudinal corporate block selected before labeling; directly addresses the 2012 Marikana events"
CORP-002,"Lonmin Plc Annual Report and Accounts 2013",2013,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2013.pdf,"Longitudinal corporate block selected before labeling"
CORP-003,"Lonmin Plc Annual Report and Accounts 2014",2014,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2014.pdf,"Longitudinal corporate block selected before labeling; covers the five-month platinum strike"
CORP-004,"Lonmin Plc Annual Report and Accounts 2016",2016,"Lonmin Plc",https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2015.pdf,"AnnualReports archive URL resolves to the verified 2016 Lonmin report; longitudinal corporate block selected before labeling"
CORP-006,"Lonmin Plc Annual Report and Accounts 2017",2017,"Lonmin Plc",https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/final-offer/lonmin-year-end-30september2017.pdf,"Verified Sibanye-Stillwater transaction archive mirror of Lonmin report"
CORP-007,"Lonmin Plc Annual Report and Accounts 2018",2018,"Lonmin Plc",https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,"Verified Sibanye-Stillwater transaction archive mirror of Lonmin report"
CORP-008,"Sibanye-Stillwater Integrated Report 2019",2019,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2019/,"Official online integrated-report edition; post-acquisition Marikana corporate perspective"
CORP-009,"Sibanye-Stillwater Integrated Report 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/,"Official online integrated-report edition; includes Marikana integration and renewal content"
CORP-010,"Sibanye-Stillwater Integrated Report 2021",2021,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2021/,"Official online integrated-report edition"
CORP-011,"Sibanye-Stillwater Integrated Report 2022",2022,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2022/,"Official online integrated-report edition; includes Marikana renewal and stakeholder disclosures"
CORP-012,"Sibanye-Stillwater Integrated Report 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/,"Official online integrated-report edition; includes Marikana socioeconomic and operational disclosures"
EXP-MEDIA-001,"It's business unusual at 'improving' Lonmin – Munroe",2013,"Mining Weekly",https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,"Correct verified article URL/date; initial candidate metadata used an incorrect 03-05 suffix"
